Connector,Initiated by,Type,Status,Description,Start time,End time
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,8.5 MB backed up in 2439 files.,8/31/2025 11:13:14 PM,8/31/2025 11:17:05 PM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,186.8 kB backed up in 1 files.,8/31/2025 07:17:30 PM,8/31/2025 07:18:01 PM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,423.3 kB backed up in 32 files.,8/31/2025 07:16:43 PM,8/31/2025 07:17:40 PM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,20.5 MB backed up in 141 files.,8/31/2025 07:13:55 PM,8/31/2025 07:16:18 PM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,8.5 MB backed up in 2439 files.,8/31/2025 11:13:07 AM,8/31/2025 11:16:50 AM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,1.3 kB backed up in 6 files.,8/31/2025 07:17:30 AM,8/31/2025 07:18:00 AM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,423.3 kB backed up in 32 files.,8/31/2025 07:16:43 AM,8/31/2025 07:17:28 AM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,127.4 MB backed up in 217 files.,8/31/2025 07:13:55 AM,8/31/2025 07:15:54 AM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,8.5 MB backed up in 2439 files.,8/30/2025 11:13:04 PM,8/30/2025 11:17:55 PM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,1.3 kB backed up in 6 files.,8/30/2025 07:17:30 PM,8/30/2025 07:17:59 PM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,754 kB backed up in 122 files.,8/30/2025 07:16:43 PM,8/30/2025 07:17:40 PM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,136.4 MB backed up in 272 files.,8/30/2025 07:13:55 PM,8/30/2025 07:16:29 PM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,8.5 MB backed up in 2439 files.,8/30/2025 11:13:04 AM,8/30/2025 11:16:53 AM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,950 B backed up in 4 files.,8/30/2025 07:17:30 AM,8/30/2025 07:18:25 AM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,3.1 MB backed up in 243 files.,8/30/2025 07:16:43 AM,8/30/2025 07:19:10 AM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,48 MB backed up in 231 files.,8/30/2025 07:13:55 AM,8/30/2025 07:21:33 AM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,9 MB backed up in 2546 files.,8/29/2025 11:13:04 PM,8/29/2025 11:42:47 PM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,277 MB backed up in 348 files.,8/29/2025 07:17:30 PM,8/29/2025 07:33:31 PM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,256.6 MB backed up in 2570 files.,8/29/2025 07:16:44 PM,8/29/2025 07:28:01 PM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,309.4 MB backed up in 907 files.,8/29/2025 07:13:55 PM,8/29/2025 07:19:33 PM
"Donner-Reuschel_Microsoft 365 Backup User Teams Chats",-,Backup,Successful,9.1 MB backed up in 2482 files.,8/29/2025 11:13:04 AM,8/29/2025 11:29:49 AM
"Donner-Reuschel_Microsoft 365 Backup OneDrive",-,Backup,Successful,0 B backed up in 0 files.,8/29/2025 07:17:30 AM,8/29/2025 07:18:26 AM
"Donner-Reuschel_Microsoft 365 Backup SharePoint and Groups & Teams",-,Backup,Successful,2.8 MB backed up in 234 files.,8/29/2025 07:16:42 AM,8/29/2025 07:19:27 AM
"Donner-Reuschel_Microsoft 365 Backup Exchange",-,Backup,Successful,128.3 MB backed up in 553 files.,8/29/2025 07:13:55 AM,8/29/2025 07:18:06 AM
